date,team_1,team_2,_map,result_1,result_2,map_winner,starting_ct,ct_1,t_2,t_1,ct_2,event_id,match_id,rank_1,rank_2,map_wins_1,map_wins_2,match_winner
2017-03-26,CLG,Rush,Train,16,6,1,1,10,5,6,1,2738,2309090,33,68,2,0,1
2017-03-26,Kinguin,Vega Squadron,Inferno,16,12,1,1,10,5,6,7,2736,2309095,17,30,1,2,2
2017-03-26,Kinguin,Vega Squadron,Overpass,13,16,2,1,6,9,7,7,2736,2309095,17,30,1,2,2
2017-03-25,x6tence,BIG,Overpass,4,16,2,1,4,11,0,5,2735,2309051,60,21,4,16,2
2017-03-25,BOOT-d[S],Sabertooth,Overpass,16,5,1,1,12,3,4,2,2699,2308800,65,197,2,0,1
2017-03-25,BOOT-d[S],Sabertooth,Mirage,16,6,1,1,10,5,6,1,2699,2308800,65,197,2,0,1
2017-03-25,LDLC,EURONICS,Cobblestone,16,10,1,2,7,4,9,6,2735,2309054,27,69,16,10,1
2017-03-25,EHOME,HegemonyPerson,Mirage,16,14,1,2,7,8,9,6,2747,2309032,222,175,16,14,1
2017-03-25,UTM,Mineski,Cache,16,5,1,2,5,1,11,4,2699,2308801,120,146,1,1,2
2017-03-25,UTM,Mineski,Overpass,16,19,2,1,11,4,4,11,2699,2308801,120,146,1,1,2
2017-03-25,TYLOO,EHOME,Mirage,16,2,1,1,13,2,3,0,2747,2309030,24,222,16,2,1
2017-03-25,fnatic Academy,K29,Mirage,12,16,2,1,5,10,7,6,2735,2309052,29,75,12,16,2
2017-03-25,LDLC,iGame.com,Nuke,14,16,2,1,6,9,8,7,2735,2309071,27,32,14,16,2
2017-03-25,Vega Squadron,PENTA,Mirage,19,15,1,2,8,7,7,8,2735,2309050,30,45,19,15,1
2017-03-25,BIG,Outlaws,Mirage,16,3,1,2,4,0,12,3,2735,2309067,21,48,16,3,1
2017-03-25,Tortues Ninja,Vega Squadron,Nuke,13,16,2,2,4,10,9,6,2735,2309076,36,30,13,16,2
2017-03-25,Bee's Money Crew,Complexity,Inferno,19,15,1,2,8,7,7,8,2727,2308881,51,49,3,0,1
2017-03-25,Bee's Money Crew,Complexity,Train,22,19,1,1,10,5,5,10,2727,2308881,51,49,3,0,1
2017-03-25,Bee's Money Crew,Complexity,Cobblestone,16,4,1,1,11,4,5,0,2727,2308881,51,49,3,0,1
2017-03-24,Mostly Harmless,RONIN,Inferno,16,9,1,2,8,2,8,7,2673,2308970,82,63,16,9,1
2017-03-24,Selfless,Renegades,Mirage,8,16,2,1,3,12,5,4,2639,2308955,53,22,8,16,2
2017-03-24,Splyce,RONIN,Train,16,14,1,1,12,3,4,11,2673,2309025,47,63,16,14,1
2017-03-24,Immortals,NRG,Train,16,14,1,1,5,10,11,4,2639,2308952,7,35,16,14,1
2017-03-24,Renegades,Selfless,Cache,16,11,1,1,5,10,11,1,2639,2308953,22,53,16,11,1
2017-03-24,Premier Rejects,Mostly Harmless,Inferno,14,16,2,1,7,8,7,8,2673,2308972,74,82,14,16,2
2017-03-24,Eanix,eUnited,Inferno,4,16,2,1,4,11,0,5,2673,2308937,55,43,4,16,2
2017-03-24,Winterfox,Luminosity,Cache,6,16,2,1,5,10,1,6,2639,2308950,76,37,6,16,2
2017-03-24,SMAZING,Eclipse,Inferno,16,19,2,1,8,7,7,8,2673,2308936,66,52,16,19,2
2017-03-24,SK,Misfits,Mirage,16,5,1,1,11,4,5,1,2639,2308951,3,28,16,5,1
2017-03-24,Luminosity,Winterfox,Cobblestone,17,19,2,1,5,10,10,5,2639,2308949,37,76,17,19,2
2017-03-24,Misfits,SK,Cobblestone,6,16,2,1,5,10,1,6,2639,2308948,28,3,6,16,2
2017-03-24,Bee's Money Crew,Prospects,Inferno,16,8,1,2,3,6,13,2,2673,2309024,51,77,16,8,1
2017-03-24,Phoenix,subtLe,Inferno,4,16,2,2,0,5,4,11,2673,2308939,80,78,4,16,2
2017-03-24,EPG,Manatee,Cache,12,16,2,1,7,8,5,8,2730,2309027,118,59,0,2,2
2017-03-24,NRG,Immortals,Cache,16,10,1,1,9,6,7,4,2639,2308954,35,7,16,10,1
2017-03-24,KoN Finland,KoN Sweden,Mirage,16,8,1,1,9,6,7,2,2686,2309020,57,145,16,8,1
