token,doc_ids,freq
100pinggods,2339527,1
13th,2326832,1
1944,2307512,1
2k,2339570,1
30,2336824,1
31337,2306859,1
4real,2306939,1
6sense,2313205,1
751,2338195,1
90ss,2325221,1
akatsuki,2339124,1
alcoholics,2340131,1
alternativ,2314888,1
andrew,2325541,1
animal,2307426,1
anoniempjes123,2312920,1
anxiety,2322060,1
aria,2307123,1
ass,2331872,1
assault,2331193,1
atlando,2327312,1
aura,2306151,1
authority,2301023,1
average25iqbutheadshots,2332312,1
awsomniac,2303630,1
ayb,2315411,1
baltic,2319007,1
bbsp,2317393,1
bfaim,2306581,1
bitfix,2321491,1
blank,2340153,1
blitz,2329540,1
bots,2301812,1
braindead,2306035,1
breaddren,2312188,1
bruto500,2318310,1
bulgaria,2303923,1
c0ntact,2340336,1
cai,2309378,1
calmface,2314749,1
carpe,2321927,1
cerus,2325653,1
charm,2318073,1
chetz,2338637,1
chi,2328259,1
china,2303434,1
cl4nless,2301267,1
clarity,2337864,1
classic,2333451,1
cokeline,2326174,1
crystal,2323984,1
czech,2304124,1
da,2328259,1
damn,2320919,1
dat,2321829,1
dawn,2337918,1
dedset,2317873,1
defy,2337863,1
disadvanctaged,2325652,1
dismay,2302570,1
drip,2320714,1
drown,2320714,1
dzver,2323485,1
egeneration,2302617,1
egoboyz,2340429,1
eltz,2301274,1
emasters,2321472,1
emperors,2310578,1
enchant,2336621,1
eon,2327081,1
esportsadviser,2333570,1
evicted,2332873,1
exors,2338595,1
fakedospro,2331838,1
fakemaquinas,2339333,1
fakeoutnation,2304935,1
fallout,2317765,1
feelsunderageman,2321991,1
fiveg,2339264,1
footgang,2313455,1
foxes,2329872,1
france,2304876,1
funplus,2340337,1
fy,2314988,1
gd,2326504,1
gg,2312920,1
gg1337,2302119,1
gloryus,2323947,1
goldenmix,2318157,1
granted,2310772,1
greedisgood,2320889,1
hadouken,2312663,1
hardneja,2329546,1
hd,2323939,1
hess,2311513,1
heyguys,2302616,1
high,2325542,1
hmm,2307163,1
horde,2330630,1
horus,2330113,1
hour,2326832,1
hyperion,2328445,1
icon,2331021,1
impact,2321729,1
incontrol,2325651,1
indonesia,2303425,1
insidious,2313523,1
iraq,2317798,1
isak,2304202,1
itakera,2333451,1
javsrien,2336813,1
jeste,2337920,1
jester,2305763,1
jmd,2313248,1
jundia,2317584,1
kalajarnot,2326903,1
kav0,2335203,1
kazek,2325528,1
kheegui,2315126,1
kinetic,2339692,1
kinship,2335124,1
kitsune,2316242,1
kuura,2329917,1
lapw,2339530,1
larry,2328222,1
las,2329379,1
lddm,2313238,1
lebanon,2317798,1
legend,2337098,1
legends,2338482,1
leisure,2302665,1
lgb,2301757,1
like,2328222,1
living,2328222,1
llama,2334747,1
locos,2310826,1
luccini,2313204,1
lunatik,2310634,1
lungiz,2313546,1
mantegos,2328259,1
markandlarry,2335872,1
maskinisterna,2317153,1
mbi,2315269,1
metapods,2302342,1
mexico,2329299,1
mimo,2301971,1
minigunners,2329379,1
mmclub,2304095,1
modem,2333153,1
moops,2337088,1
msi,2307402,1
mukc,2315269,1
mwnl,2326157,1
mystical,2321169,1
needjobs,2302379,1
neo,2322538,1
neophyte,2301022,1
nevermad,2301882,1
nevermind,2304095,1
nextplease,2301864,1
nice,2317351,1
no2b,2327406,1
noctem,2321927,1
nomercy,2303046,1
novacancy,2332700,1
nut,2310149,1
onlinebots,2306526,1
onlinerol,2312043,1
onyx,2333649,1
oversports,2317537,1
pack,2334747,1
paranoia,2308422,1
peacemaker,2300921,1
penn,2326301,1
pensioners,2332662,1
pey,2325552,1
pharsyde,2335890,1
pitoni,2329439,1
player,2303669,1
poison,2336621,1
polaris,2310985,1
popcornplokker,2311512,1
portugal,2304124,1
power,2318690,1
prima,2339201,1
prime,2328016,1
prinfor,2302617,1
progamers,2308529,1
psychoactive,2318323,1
quackpack,2302131,1
raise,2305575,1
ramboot,2317151,1
rascal,2305763,1
reflex,2323945,1
reform,2325985,1
rekt,2315050,1
republic,2304124,1
retired,2329935,1
revelation,2332147,1
rhd,2309546,1
rofed,2326043,1
rrq,2326897,1
runited,2305145,1
russia,2304431,1
s2n,2330182,1
s2v,2339012,1
saskatoon,2339031,1
scooter,2315946,1
scotty,2315946,1
sentinel,2313725,1
serbia,2303923,1
serenic,2319813,1
seven,2301581,1
sft,2318026,1
sfto,2309816,1
shanghai,2310578,1
shot,2331285,1
si,2318640,1
skjuta,2311513,1
slashcry,2302829,1
slk,2302585,1
snabbabrillor,2315249,1
sodmg,2331153,1
sp,2311399,1
spawn,2323942,1
spirifex,2322865,1
spot,2322465,1
stackem,2335083,1
state,2326301,1
station,2338195,1
stepback,2339693,1
strings,2334747,1
t5,2304046,1
tbi,2302499,1
teamwork,2313583,1
telecon,2317584,1
thedice,2332536,1
third,2318073,1
thnakes,2324368,1
those,2320919,1
times,2318073,1
tinderkluben,2320263,1
toly,2333630,1
tori,2330460,1
ttc,2339195,1
tundra,2310992,1
tzatzikiklubben,2309378,1
umumba,2337933,1
us,2315113,1
ussr,2305482,1
valorix,2338315,1
valour,2309956,1
vantage,2333940,1
vatos,2310826,1
vb,2325149,1
veca,2313369,1
vegas,2329379,1
venko,2305421,1
vertex,2340202,1
vinco,2333622,1
vyalie,2329439,1
warmonkeys,2307504,1
weekend,2316103,1
wegotgame,2302964,1
wortex,2309869,1
wyvern,2306109,1
xtreme,2313546,1
xunwu,2313583,1
xuxan,2325562,1
zen,2311696,1
zetmac,2317204,1
zews,2300921,1
zorka,2335153,1
