match_id,event_timestamp,_map,score_diff,rank_1,rank_2,year
2326203,2018-09-05T00:00:00.000+02:00,Mirage,12,3,17,2018
2329079,2018-11-16T00:00:00.000+01:00,Nuke,11,47,113,2018
2325499,2018-08-21T00:00:00.000+02:00,Cache,5,178,188,2018
2317948,2017-12-13T00:00:00.000+01:00,Cache,6,251,158,2017
2322318,2018-04-26T00:00:00.000+02:00,Nuke,10,212,76,2018
2335059,2019-07-19T00:00:00.000+02:00,Overpass,12,83,19,2019
2323321,2018-05-30T00:00:00.000+02:00,Mirage,13,58,167,2018
2331365,2019-03-04T00:00:00.000+01:00,Train,12,47,72,2019
2308925,2017-03-21T00:00:00.000+01:00,Overpass,13,97,70,2017
2320281,2018-03-02T00:00:00.000+01:00,Train,8,33,137,2018
2325165,2018-07-31T00:00:00.000+02:00,Train,3,32,30,2018
2302927,2016-06-04T00:00:00.000+02:00,Overpass,11,53,43,2016
2327593,2018-10-17T00:00:00.000+02:00,Inferno,8,14,23,2018
2312850,2017-07-24T00:00:00.000+02:00,Train,7,52,70,2017
2299211,2015-11-13T00:00:00.000+01:00,Dust2,2,9,14,2015
2333128,2019-05-09T00:00:00.000+02:00,Mirage,3,199,39,2019
2321162,2018-03-23T00:00:00.000+01:00,Mirage,2,74,20,2018
2338208,2019-12-02T00:00:00.000+01:00,Overpass,8,221,195,2019
2311209,2017-05-29T00:00:00.000+02:00,Inferno,2,185,203,2017
2338281,2019-12-07T00:00:00.000+01:00,Mirage,2,166,85,2019
2315682,2017-10-07T00:00:00.000+02:00,Inferno,7,172,240,2017
2315212,2017-09-24T00:00:00.000+02:00,Overpass,6,39,29,2017
2336314,2019-10-01T00:00:00.000+02:00,Dust2,9,2,7,2019
2313474,2017-08-16T00:00:00.000+02:00,Cache,3,111,302,2017
2328978,2018-11-09T00:00:00.000+01:00,Train,14,41,59,2018
2329839,2018-12-11T00:00:00.000+01:00,Dust2,4,100,43,2018
2332073,2019-04-01T00:00:00.000+02:00,Train,2,5,8,2019
2334630,2019-06-27T00:00:00.000+02:00,Inferno,9,22,54,2019
2305862,2016-10-15T00:00:00.000+02:00,Cobblestone,4,71,131,2016
2330716,2019-02-05T00:00:00.000+01:00,Dust2,11,74,28,2019
2307719,2017-02-05T00:00:00.000+01:00,Nuke,12,9,22,2017
2306982,2016-11-29T00:00:00.000+01:00,Nuke,9,87,122,2016
2324749,2018-07-11T00:00:00.000+02:00,Dust2,9,149,111,2018
