doc_id,text,date,_map,team_1,team_2
2299001_Train,NiP Dignitas Train 16 4,2015-11-03,Train,NiP,Dignitas
2299078_Overpass,Natus Vincere mousesports Overpass 7 16,2015-11-06,Overpass,Natus Vincere,mousesports
2299179_Overpass,Conquest CLG Overpass 16 13,2015-11-12,Overpass,Conquest,CLG
2299194_Dust2,Natus Vincere fnatic Dust2 14 16,2015-11-12,Dust2,Natus Vincere,fnatic
2299207_Inferno,Conquest Complexity Inferno 25 22,2015-11-13,Inferno,Conquest,Complexity
2299245_Cache,G2 Virtus.pro Cache 16 10,2015-11-14,Cache,G2,Virtus.pro
2299264_Cobblestone,Luminosity Cloud9 Cobblestone 9 16,2015-11-15,Cobblestone,Luminosity,Cloud9
2299265_Cobblestone,CLG Liquid Cobblestone 12 16,2015-11-15,Cobblestone,CLG,Liquid
2299271_Cobblestone,Liquid Cloud9 Cobblestone 15 19,2015-11-15,Cobblestone,Liquid,Cloud9
2299299_Cobblestone,Nexus Enemy Cobblestone 2 16,2015-11-16,Cobblestone,Nexus,Enemy
2299303_Dust2,Complexity Nexus Storm Dust2 15 15,2015-11-17,Dust2,Complexity,Nexus Storm
2299306_Dust2,Cloud9 Method Dust2 16 2,2015-11-17,Dust2,Cloud9,Method
2299309_Train,CSGL SKDC Train 16 11,2015-11-18,Train,CSGL,SKDC
2299374_Overpass,Enemy Method Overpass 16 3,2015-11-18,Overpass,Enemy,Method
2299400_Cobblestone,Cloud9 Method Cobblestone 16 10,2015-11-20,Cobblestone,Cloud9,Method
2299437_Cache,G2 CLG Cache 16 7,2015-11-21,Cache,G2,CLG
2299501_Overpass,TSM Liquid Overpass 16 0,2015-11-26,Overpass,TSM,Liquid
2299540_Cache,NiP Luminosity Cache 21 19,2015-11-27,Cache,NiP,Luminosity
2299540_Cobblestone,NiP Luminosity Cobblestone 6 16,2015-11-27,Cobblestone,NiP,Luminosity
2299541_Overpass,TSM Luminosity Overpass 6 16,2015-11-28,Overpass,TSM,Luminosity
2299558_Train,fnatic Luminosity Train 9 16,2015-11-28,Train,fnatic,Luminosity
2299615_Inferno,TSM E-frag.net Inferno 16 5,2015-12-01,Inferno,TSM,E-frag.net
2299621_Dust2,Natus Vincere Titan Dust2 16 9,2015-12-02,Dust2,Natus Vincere,Titan
2299646_Cache,Envy Titan Cache 16 8,2015-12-03,Cache,Envy,Titan
2299746_Dust2,NiP fnatic Dust2 16 9,2015-12-06,Dust2,NiP,fnatic
2299842_Train,? Natus Vincere Train 16 12,2015-12-11,Train,?,Natus Vincere
2299862_Mirage,fnatic Liquid Mirage 16 8,2015-12-12,Mirage,fnatic,Liquid
2300243_Train,Envy Dignitas Train 16 11,2016-01-11,Train,Envy,Dignitas
2300247_Overpass,FlipSid3 SK Overpass 3 16,2016-01-10,Overpass,FlipSid3,SK
2300247_Train,FlipSid3 SK Train 16 21,2016-01-10,Train,FlipSid3,SK
2300273_Cache,CyberZen G2 Cache 14 16,2016-01-13,Cache,CyberZen,G2
2300295_Inferno,Envy ? Inferno 16 13,2016-01-14,Inferno,Envy,?
2300296_Cache,fnatic ex-Titan Cache 16 10,2016-01-14,Cache,fnatic,ex-Titan
2300302_Cache,NiP E-frag.net Cache 12 16,2016-01-14,Cache,NiP,E-frag.net
2300318_Cobblestone,Envy Natus Vincere Cobblestone 12 16,2016-01-16,Cobblestone,Envy,Natus Vincere
2300348_Mirage,OpTic Splyce Mirage 8 16,2016-01-17,Mirage,OpTic,Splyce
2300413_Inferno,Luminosity FaZe Inferno 9 16,2016-01-22,Inferno,Luminosity,FaZe
2300419_Cobblestone,Rebels Binary Dragons Cobblestone 16 3,2016-01-22,Cobblestone,Rebels,Binary Dragons
2300429_Mirage,Luminosity SK Mirage 10 16,2016-01-22,Mirage,Luminosity,SK
2300430_Cobblestone,Virtus.pro Dignitas Cobblestone 20 22,2016-01-22,Cobblestone,Virtus.pro,Dignitas
2300435_Train,Method Quest Train 16 11,2016-01-23,Train,Method,Quest
2300436_Cobblestone,Rebels Binary Dragons Cobblestone 16 11,2016-01-23,Cobblestone,Rebels,Binary Dragons
2300439_Overpass,Astralis Luminosity Overpass 12 16,2016-01-23,Overpass,Astralis,Luminosity
2300444_Train,Luminosity Natus Vincere Train 16 19,2016-01-24,Train,Luminosity,Natus Vincere
2300447_Train,Rebels Gambit Train 3 16,2016-01-24,Train,Rebels,Gambit
2300456_Train,Envy Vexed Train 14 16,2016-01-28,Train,Envy,Vexed
2300507_Cache,E-frag.net PENTA Cache 16 7,2016-01-29,Cache,E-frag.net,PENTA
2300534_Cobblestone,Chiefs TheMongolz Cobblestone 9 16,2016-01-31,Cobblestone,Chiefs,TheMongolz
2300538_Cobblestone,TheMongolz Renegades Cobblestone 16 9,2016-02-01,Cobblestone,TheMongolz,Renegades
2300589_Dust2,Orgless RCTIC Dust2 8 16,2016-02-05,Dust2,Orgless,RCTIC
2300594_Cache,G2 Astralis Cache 15 19,2016-02-05,Cache,G2,Astralis
2300597_Cobblestone,CPH Wolves Orgless Cobblestone 16 8,2016-02-05,Cobblestone,CPH Wolves,Orgless
2300598_Dust2,ENCE Millenium Dust2 16 12,2016-02-05,Dust2,ENCE,Millenium
2300617_Inferno,CLG G2 Inferno 6 16,2016-02-06,Inferno,CLG,G2
2300634_Cache,Astralis Envy Cache 13 16,2016-02-06,Cache,Astralis,Envy
2300663_Inferno,Astralis G2 Inferno 16 10,2016-02-10,Inferno,Astralis,G2
2300677_Overpass,Luminosity Liquid Overpass 16 13,2016-02-12,Overpass,Luminosity,Liquid
2300779_Cobblestone,mousesports FlipSid3 Cobblestone 16 11,2016-02-13,Cobblestone,mousesports,FlipSid3
2300786_Cobblestone,E-frag.net FlipSid3 Cobblestone 4 16,2016-02-14,Cobblestone,E-frag.net,FlipSid3
2300811_Mirage,NiP Dignitas Mirage 16 8,2016-02-17,Mirage,NiP,Dignitas
2300855_Inferno,FlipSid3 E-frag.net Inferno 9 16,2016-02-17,Inferno,FlipSid3,E-frag.net
2300886_Cobblestone,Vexed x6tence Cobblestone 16 2,2016-02-19,Cobblestone,Vexed,x6tence
2300934_Inferno,fnatic G2 Inferno 16 7,2016-02-21,Inferno,fnatic,G2
2300961_Dust2,Winterfox NRG Dust2 6 16,2016-02-23,Dust2,Winterfox,NRG
2300970_Mirage,Vexed ENCE Mirage 14 16,2016-02-23,Mirage,Vexed,ENCE
2300985_Dust2,Cloud9 Tempo Storm Dust2 8 16,2016-02-22,Dust2,Cloud9,Tempo Storm
2300988_Cobblestone,LDLC White Platinium Cobblestone 5 16,2016-02-22,Cobblestone,LDLC White,Platinium
2300988_Inferno,LDLC White Platinium Inferno 13 16,2016-02-22,Inferno,LDLC White,Platinium
2300992_Cache,ALTERNATE aTTaX Orgless Cache 16 8,2016-02-23,Cache,ALTERNATE aTTaX,Orgless
2300993_Inferno,PENTA PANTERS Inferno 16 11,2016-02-23,Inferno,PENTA,PANTERS
2301003_Train,Natus Vincere NiP Train 16 13,2016-02-24,Train,Natus Vincere,NiP
2301011_Mirage,AGG Selfless Mirage 11 16,2016-02-24,Mirage,AGG,Selfless
2301036_Dust2,CLG QuetzaL Dust2 16 8,2016-02-25,Dust2,CLG,QuetzaL
2301046_Dust2,G2 Tempo Storm Dust2 16 13,2016-02-26,Dust2,G2,Tempo Storm
2301069_Train,Renegades Gambit Train 11 16,2016-02-27,Train,Renegades,Gambit
2301070_Overpass,Liquid HellRaisers Overpass 7 16,2016-02-27,Overpass,Liquid,HellRaisers
2301075_Train,Ancient ENCE Train 16 14,2016-02-27,Train,Ancient,ENCE
2301085_Cache,FlipSid3 Tempo Storm Cache 16 5,2016-02-28,Cache,FlipSid3,Tempo Storm
2301086_Dust2,CLG Vexed Dust2 16 13,2016-02-28,Dust2,CLG,Vexed
2301086_Train,CLG Vexed Train 16 13,2016-02-28,Train,CLG,Vexed
2301099_Cache,Virtus.pro NiP Cache 2 16,2016-03-09,Cache,Virtus.pro,NiP
2301100_Overpass,NiP Virtus.pro Overpass 16 11,2016-03-09,Overpass,NiP,Virtus.pro
2301107_Mirage,FaZe Natus Vincere Mirage 12 16,2016-03-10,Mirage,FaZe,Natus Vincere
2301114_Train,SK Astralis Train 7 16,2016-03-13,Train,SK,Astralis
2301116_Train,G2 FlipSid3 Train 16 12,2016-03-13,Train,G2,FlipSid3
2301121_Train,Winterfox Renegades Train 3 16,2016-03-09,Train,Winterfox,Renegades
2301122_Dust2,AGG Splyce Dust2 12 16,2016-03-09,Dust2,AGG,Splyce
2301126_Overpass,Winterfox Luminosity Overpass 11 16,2016-03-10,Overpass,Winterfox,Luminosity
2301129_Mirage,Luminosity NRG Mirage 16 9,2016-03-11,Mirage,Luminosity,NRG
2301134_Overpass,Cloud9 Complexity Overpass 19 15,2016-03-13,Overpass,Cloud9,Complexity
2301145_Dust2,fnatic Natus Vincere Dust2 16 10,2016-03-02,Dust2,fnatic,Natus Vincere
2301152_Cobblestone,mousesports Natus Vincere Cobblestone 6 16,2016-03-02,Cobblestone,mousesports,Natus Vincere
2301162_Overpass,Virtus.pro Astralis Overpass 6 16,2016-03-03,Overpass,Virtus.pro,Astralis
2301171_Mirage,Envy Tempo Storm Mirage 7 16,2016-03-03,Mirage,Envy,Tempo Storm
2301183_Cobblestone,Natus Vincere Tempo Storm Cobblestone 15 19,2016-03-04,Cobblestone,Natus Vincere,Tempo Storm
2301184_Train,fnatic Virtus.pro Train 16 5,2016-03-04,Train,fnatic,Virtus.pro
2301192_Cobblestone,FlipSid3 CSGL Cobblestone 16 3,2016-03-02,Cobblestone,FlipSid3,CSGL
2301196_Cache,Liquid Complexity Cache 16 4,2016-03-04,Cache,Liquid,Complexity
2301212_Cobblestone,Publiclir.se gBots Cobblestone 16 12,2016-03-06,Cobblestone,Publiclir.se,gBots
2301221_Cache,Liquid OpTic Cache 16 7,2016-03-08,Cache,Liquid,OpTic
2301221_Overpass,Liquid OpTic Overpass 12 16,2016-03-08,Overpass,Liquid,OpTic
2301227_Inferno,DenDD Publiclir.se Inferno 16 4,2016-03-07,Inferno,DenDD,Publiclir.se
2301228_Dust2,LDLC Blue Dead Pixels Dust2 12 16,2016-03-07,Dust2,LDLC Blue,Dead Pixels
2301233_Overpass,Selfless OpTic Overpass 6 16,2016-03-09,Overpass,Selfless,OpTic
2301234_Mirage,Obey.Alliance 8 Minded Mirage 16 13,2016-03-09,Mirage,Obey.Alliance,8 Minded
2301241_Train,SK GameAgents Train 16 11,2016-03-09,Train,SK,GameAgents
2301270_Overpass,Splyce AGG Overpass 7 16,2016-03-11,Overpass,Splyce,AGG
2301283_Cache,eSuba RCTIC Cache 16 8,2016-03-11,Cache,eSuba,RCTIC
2301284_Dust2,Platinium LDLC Blue Dust2 14 16,2016-03-14,Dust2,Platinium,LDLC Blue
2301284_Inferno,Platinium LDLC Blue Inferno 22 19,2016-03-14,Inferno,Platinium,LDLC Blue
2301310_Cobblestone,dream[S]cape TYLOO Cobblestone 9 16,2016-03-13,Cobblestone,dream[S]cape,TYLOO
2301319_Dust2,CSGL PENTA Dust2 16 12,2016-03-13,Dust2,CSGL,PENTA
2301321_Inferno,FlipSid3 Preparation Inferno 17 19,2016-03-13,Inferno,FlipSid3,Preparation
2301322_Train,G2 eSuba Train 16 12,2016-03-13,Train,G2,eSuba
2301323_Inferno,E-frag.net CPH Wolves Inferno 8 16,2016-03-13,Inferno,E-frag.net,CPH Wolves
2301335_Cache,TYLOO MVP.karnal Cache 16 5,2016-03-13,Cache,TYLOO,MVP.karnal
2301341_Dust2,mousesports noKappa Dust2 16 3,2016-03-13,Dust2,mousesports,noKappa
2301348_Mirage,ENCE FlipSid3 Mirage 10 16,2016-03-14,Mirage,ENCE,FlipSid3
2301351_Cobblestone,Imperio Multimedia k1ck Cobblestone 16 11,2016-03-14,Cobblestone,Imperio Multimedia,k1ck
2301379_Cobblestone,FlipSid3 mousesports Cobblestone 16 13,2016-03-20,Cobblestone,FlipSid3,mousesports
2301395_Cobblestone,Luminosity Cloud9 Cobblestone 16 7,2016-03-18,Cobblestone,Luminosity,Cloud9
2301402_Train,Winterfox Selfless Train 16 10,2016-03-20,Train,Winterfox,Selfless
2301407_Inferno,Splyce Luminosity Inferno 8 16,2016-03-21,Inferno,Splyce,Luminosity
2301419_Train,TSM Complexity Train 19 16,2016-03-15,Train,TSM,Complexity
2301426_Cache,RCTIC Method Cache 22 20,2016-03-17,Cache,RCTIC,Method
2301443_Mirage,SK Epsilon Mirage 16 12,2016-03-17,Mirage,SK,Epsilon
2301443_Overpass,SK Epsilon Overpass 16 6,2016-03-17,Overpass,SK,Epsilon
2301459_Cobblestone,Renegades TSM Cobblestone 16 19,2016-03-19,Cobblestone,Renegades,TSM
2301459_Overpass,Renegades TSM Overpass 10 16,2016-03-19,Overpass,Renegades,TSM
2301465_Cache,Selfless Cloud9 Cache 3 16,2016-03-20,Cache,Selfless,Cloud9
2301473_Inferno,Galatics Imperio Multimedia Inferno 5 16,2016-03-19,Inferno,Galatics,Imperio Multimedia
2301488_Cache,Gambit HellRaisers Cache 5 16,2016-03-20,Cache,Gambit,HellRaisers
2301492_Mirage,Ancient ENCE Mirage 16 10,2016-03-20,Mirage,Ancient,ENCE
2301493_Inferno,CPH Wolves PENTA Inferno 16 10,2016-03-20,Inferno,CPH Wolves,PENTA
2301494_Dust2,G2 FLuffy Gangsters Dust2 16 13,2016-03-20,Dust2,G2,FLuffy Gangsters
2301500_Overpass,Bravado Aperture Overpass 19 17,2016-03-20,Overpass,Bravado,Aperture
2301504_Inferno,AGG SK Inferno 16 5,2016-03-20,Inferno,AGG,SK
2301504_Overpass,AGG SK Overpass 22 19,2016-03-20,Overpass,AGG,SK
2301505_Train,Ancient CPH Wolves Train 16 3,2016-03-20,Train,Ancient,CPH Wolves
2301510_Overpass,HellRaisers Arcade Overpass 16 13,2016-03-21,Overpass,HellRaisers,Arcade
2301516_Cobblestone,SK LDLC Blue Cobblestone 16 1,2016-03-21,Cobblestone,SK,LDLC Blue
2301524_Inferno,fnatic FlipSid3 Inferno 16 14,2016-03-23,Inferno,fnatic,FlipSid3
2301541_Mirage,NRG Vault Mirage 16 9,2016-03-22,Mirage,NRG,Vault
2301566_Inferno,Planetkey Empire Inferno 16 3,2016-03-23,Inferno,Planetkey,Empire
2301566_Mirage,Planetkey Empire Mirage 12 16,2016-03-23,Mirage,Planetkey,Empire
2301568_Mirage,Method Orgless Mirage 12 16,2016-03-23,Mirage,Method,Orgless
2301578_Dust2,Selfless NRG Dust2 22 18,2016-03-24,Dust2,Selfless,NRG
2301581_Dust2,Alpha seven Dust2 16 6,2016-03-24,Dust2,Alpha,seven
2301590_Overpass,LDLC Blue YP Overpass 16 10,2016-03-23,Overpass,LDLC Blue,YP
2301707_Mirage,ENCE Publiclir.se Mirage 13 16,2016-03-25,Mirage,ENCE,Publiclir.se
2301711_Cache,Millenium fe Area08 fe Cache 19 17,2016-03-25,Cache,Millenium fe,Area08 fe
2301719_Train,LDLC fe Exertus fe Train 16 13,2016-03-25,Train,LDLC fe,Exertus fe
2301725_Dust2,E-frag.net CPH Wolves Dust2 9 16,2016-03-25,Dust2,E-frag.net,CPH Wolves
2301730_Cobblestone,Orbit fe Area08 fe Cobblestone 8 16,2016-03-25,Cobblestone,Orbit fe,Area08 fe
2301762_Train,E-frag.net Space Soldiers Train 16 4,2016-03-26,Train,E-frag.net,Space Soldiers
2301766_Inferno,FLuffy Gangsters Arcade Inferno 13 16,2016-03-26,Inferno,FLuffy Gangsters,Arcade
2301766_Mirage,FLuffy Gangsters Arcade Mirage 3 16,2016-03-26,Mirage,FLuffy Gangsters,Arcade
2301768_Inferno,Secret fe Exertus fe Inferno 16 9,2016-03-26,Inferno,Secret fe,Exertus fe
2301776_Mirage,Secret fe CLG Red Mirage 16 1,2016-03-26,Mirage,Secret fe,CLG Red
2301779_Cobblestone,Ancient Iwku Cobblestone 16 5,2016-03-27,Cobblestone,Ancient,Iwku
2301788_Dust2,Millenium Platinium Dust2 16 14,2016-03-27,Dust2,Millenium,Platinium
2301791_Overpass,Winterfox Obey.Alliance Overpass 16 13,2016-03-27,Overpass,Winterfox,Obey.Alliance
2301809_Train,CPH Wolves CSGL Train 16 6,2016-03-28,Train,CPH Wolves,CSGL
2301810_Cobblestone,Ancient CSGL Cobblestone 8 16,2016-03-28,Cobblestone,Ancient,CSGL
2301811_Cobblestone,LDLC Blue Platinium Cobblestone 16 8,2016-03-27,Cobblestone,LDLC Blue,Platinium
2301820_Inferno,Tempo Storm Selfless Inferno 9 16,2016-03-28,Inferno,Tempo Storm,Selfless
2301821_Overpass,Alpha Epsilon Overpass 1 16,2016-03-28,Overpass,Alpha,Epsilon
2301829_Dust2,TheMongolz MVP.karnal Dust2 12 16,2016-03-28,Dust2,TheMongolz,MVP.karnal
2301830_Cache,Tempo Storm Obey.Alliance Cache 16 12,2016-03-29,Cache,Tempo Storm,Obey.Alliance
2301831_Train,Wings HG Train 16 6,2016-03-29,Train,Wings,HG
2301839_Mirage,AGG Method Mirage 8 16,2016-03-30,Mirage,AGG,Method
2301842_Cache,Deathtrap TogetherAsOne Cache 16 8,2016-03-30,Cache,Deathtrap,TogetherAsOne
2301846_Mirage,ENCE Escape Mirage 6 16,2016-03-30,Mirage,ENCE,Escape
2301854_Train,AllGamers HG Train 11 16,2016-03-31,Train,AllGamers,HG
2301857_Mirage,VG.CyberZen New4 Mirage 13 16,2016-03-31,Mirage,VG.CyberZen,New4
2301858_Overpass,mousesports NiP Overpass 9 16,2016-03-31,Overpass,mousesports,NiP
